,Text,Time_Diff_seconds
0,"['Man:', 'What do you expect?', ""They're savages.""]",2.169
1,"['One lot steals a goat', 'from another lot,']",2.335
2,"[""before you know it they're ripping"", 'each other to pieces.']",3.003
3,"[""I've never seen wildlings"", 'do a thing like this.']",2.168
4,"['I never seen a thing like this,', 'not ever in my life.']",2.301
5,"['- Close as any man would.', '- We should head back to the wall.']",2.935
6,['Do the dead frighten you?'],1.634
7,"['Our orders were', 'to track the wildlings.']",2.435
8,"['We tracked them.', ""They won't trouble us no more.""]",2.835
9,"[""You don't think"", ""he'll ask us how they died?""]",2.669
10,['Get back on your horse.'],2.001
11,"['Whatever did it to them', 'could do it to us.']",1.901
12,"['They even killed', 'the children.']",1.967
13,"[""It's a good thing"", ""we're not children.""]",3.069
14,"['You want to run away south,', 'run away.']",2.602
15,"['Of course they will', 'behead you as a deserter,']",2.902
16,"[""if I don't"", 'catch you first.']",2.369
17,['Get back on your horse.'],2.268
18,"[""I won't say it again.""]",1.968
19,"['Your dead men seem', 'to have moved camp.']",2.535
20,['They were here.'],2.534
21,['See where they went.'],2.368
22,['What is it?'],2.168
23,"[""It's...""]",2.468
24,"['<font color=#00FF00>♪ Game of Thrones 1x01 ♪</font>', '<font color=#00FFFF>Winter Is Coming</font>', 'Original Air Date on April 17, 2011']",4.0
25,"['== sync, corrected by <font color=""#00ff00"">elderman</font> ==']",4.0
26,"[""Go on, father's watching.""]",3.069
27,['And your mother.'],1.901
28,"['Fine work as always.', 'Well done.']",3.37
29,['Thank you.'],1.835
30,"[""I love the detail that you've managed"", 'to get in these corners.']",3.969
31,['Quite beautiful.'],1.934
32,['The stitching...'],2.033
33,"['And which one of you', 'was a marksman at 10?']",2.803
34,"['Keep practicing, Bran.']",1.567
35,['Go on.'],2.034
36,"[""Don't think"", 'too much, Bran.']",2.868
37,['Relax your bow arm.'],2.067
38,"['Quick, Bran!', 'Faster.']",2.801
39,['Lord Stark!'],2.068
40,['My lady.'],2.001
41,"['A guardsman just', 'rode in from the hills.']",2.034
42,"[""They've captured a deserter"", ""from The Night's Watch.""]",3.001
43,"['Get the lads to saddle', 'their horses.']",2.369
44,['Do you have to?'],2.034
45,"['He swore an oath, Cat.']",2.334
46,"['The law is law,', 'my lady.']",1.967
47,"[""Tell Bran he's coming too.""]",1.834
48,['Ned.'],1.667
49,"['10 is too young', 'to see such things.']",2.334
50,"[""He won't be a boy forever.""]",1.767
51,['And winter is coming.'],2.334
52,"['Lad, go run back', 'and get the rest.']",3.602
53,['I saw the White Walkers.'],2.735
54,['White Walkers.'],1.934
55,"['The White Walkers,', 'I saw them.']",3.068
56,['I know I broke my oath.'],1.835
57,"['And I know', ""I'm a deserter.""]",1.834
58,"['I should have gone back to the wall', 'and warned them, but--']",3.703
59,['I saw what I saw.'],2.168
60,['I saw the White Walkers.'],2.0
61,['People need to know.'],1.935
62,"['If you can get word', 'to my family...']",1.868
63,"[""Tell them I'm no coward.""]",2.402
64,"[""Tell them I'm sorry.""]",2.135
65,"['In the name of Robert', 'of the House Baratheon,']",2.802
66,"['- the first of his name...', ""- Don't look away.""]",1.901
67,"['...King of the Andals', 'and the first men...']",1.74
68,['Father will know if you do.'],1.138
69,"['...Lord of the Seven Kingdoms', 'and protector of the realm,']",3.535
70,"['I, Eddard of the House Stark,']",2.735
71,"['Lord of Winterfell', 'and warden of the north,']",2.869
72,['sentence you to die.'],2.535
73,['You did well.'],2.467
74,"['You understand', 'why I did it?']",1.934
75,"['Jon said', 'he was a deserter.']",1.968
76,"['But do you understand', 'why i had to kill him?']",2.668
77,"['""Our way is the old way""?']",1.767
78,"['The man who passes', 'the sentence']",1.968
79,['should swing the sword.'],1.734
80,"['Is it true he saw', 'the White Walkers?']",2.335
81,"['The White Walkers have been', 'gone for thousands of years.']",3.07
82,['So he was lying?'],2.803
83,['A madman sees what he sees.'],2.802
84,['What is it?'],2.168
85,['Mountain lion?'],2.669
86,"['There are no Mountain lions', 'in these woods.']",2.002
87,"[""It's a freak!""]",2.001
88,"[""It's a direwolf.""]",2.735
89,['Tough old beast.'],2.734
90,"['There are no direwolves', 'south of the wall.']",2.768
91,['Now there are five.'],2.134
92,['You want to hold it?'],2.668
93,"['Bran:', 'Where will they go?']",2.501
94,"[""Their mother's dead.""]",1.801
95,"[""They don't belong"", 'down here.']",1.635
96,"['Better', 'a quick death.']",1.934
97,"[""They won't last"", 'without their mother.']",1.868
98,"['- Right. Give it here.', '- No!']",2.168
99,"['I take orders', 'from your father, not you.']",2.135
100,"['- Please, father!', ""- I'm sorry, Bran.""]",2.801
101,['Lord Stark?'],1.868
102,"['There are', 'five pups...']",2.468
103,"['one for each', 'of the Stark children.']",1.867
104,"['They were meant', 'to have them.']",2.202
105,"['You will train them', 'yourselves.']",2.435
106,"['You will', 'feed them yourselves.']",1.968
107,"['And if they die,', 'you will bury them yourselves.']",3.036
108,['What about you?'],2.135
109,"[""I'm not a Stark.""]",1.601
110,['Get on.'],2.201
111,['What is it?'],2.402
112,"['The runt of the litter--', ""that one's yours, snow.""]",3.97
113,"['As your brother,', ""I feel it's my duty to warn you:""]",3.436
114,['You worry too much.'],2.034
115,"[""- It's starting to show."", '- And you never worry about anything.']",3.335
116,"['When we were seven', 'and you jumped off', 'the cliffs at Casterly Rock,']",3.57
117,"['100-foot drop into the water,']",2.335
118,['and you were never afraid.'],2.068
119,"['There was nothing to be afraid of', 'until you told father.']",2.701
